volume,path,offset,size,date,kind,head4
TO7ROOT,/_S_DNG07_PIC.TXD,32045056,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG08_01_PIC.TXD,32065536,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG08_PIC.TXD,32086016,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG09_01_PIC.TXD,32106496,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG09_PIC.TXD,32126976,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG10_01_PIC.TXD,32147456,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG10_02_PIC.TXD,32167936,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG10_PIC.TXD,32188416,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG11_01_PIC.TXD,32208896,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG11_PIC.TXD,32229376,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG12_01_PIC.TXD,32249856,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG12_02_PIC.TXD,32270336,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG12_03_PIC.TXD,32290816,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG12_PIC.TXD,32311296,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG13_01_PIC.TXD,32331776,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG13_PIC.TXD,32352256,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG14_01_PIC.TXD,32372736,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG14_PIC.TXD,32393216,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG15_01_PIC.TXD,32413696,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG15_02_PIC.TXD,32434176,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG15_03_PIC.TXD,32454656,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG15_04_PIC.TXD,32475136,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG15_PIC.TXD,32495616,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG17_01_PIC.TXD,32516096,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG17_02_PIC.TXD,32536576,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG17_03_PIC.TXD,32557056,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG17_PIC.TXD,32577536,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG18_01_PIC.TXD,32598016,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG18_PIC.TXD,32618496,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG19_01_PIC.TXD,32638976,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG19_02_PIC.TXD,32659456,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG19_PIC.TXD,32679936,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG22_01_PIC.TXD,32700416,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG22_02_PIC.TXD,32720896,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG22_03_PIC.TXD,32741376,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG22_04_PIC.TXD,32761856,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG22_05_PIC.TXD,32782336,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG22_PIC.TXD,32802816,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG23_01_PIC.TXD,32823296,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG23_PIC.TXD,32843776,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG24_01_PIC.TXD,32864256,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG24_PIC.TXD,32884736,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG25_01_PIC.TXD,32905216,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG25_PIC.TXD,32925696,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG26_01_PIC.TXD,32946176,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG26_PIC.TXD,32966656,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG27_01_PIC.TXD,32987136,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG27_PIC.TXD,33007616,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG29_01_PIC.TXD,33028096,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG29_PIC.TXD,33048576,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG30_01_PIC.TXD,33069056,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG30_02_PIC.TXD,33089536,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG30_PIC.TXD,33110016,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG31_01_PIC.TXD,33130496,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG31_PIC.TXD,33150976,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_DNG32_01_PIC.TXD,33171456,20168,2005-10-17 10:42:11 +36,?,16000000
TO7ROOT,/_S_DNG32_PIC.TXD,33191936,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_MENU.TM2,33212416,519088,2005-11-01 17:01:37 +36,TIM2,54494d32
TO7ROOT,/_S_STATUS_C01.TXD,33732608,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C02.TXD,33867776,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C03.TXD,34002944,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C04.TXD,34138112,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C05.TXD,34273280,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C06.TXD,34408448,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C07.TXD,34543616,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_STATUS_C08.TXD,34678784,134852,2005-10-24 10:45:30 +36,?,16000000
TO7ROOT,/_S_TOWN01_PIC.TXD,34813952,20164,2005-10-20 10:54:17 +36,?,16000000
TO7ROOT,/_S_TOWN02_PIC.TXD,34834432,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN03_PIC.TXD,34854912,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN04_PIC.TXD,34875392,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN05_PIC.TXD,34895872,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN06_PIC.TXD,34916352,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN07_PIC.TXD,34936832,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN08_PIC.TXD,34957312,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN09_PIC.TXD,34977792,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN10_PIC.TXD,34998272,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN11_PIC.TXD,35018752,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN12_PIC.TXD,35039232,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN13_PIC.TXD,35059712,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN14_PIC.TXD,35080192,20164,2005-10-05 12:02:29 +36,?,16000000
TO7ROOT,/_S_TOWN15_PIC.TXD,35100672,20164,2005-10-05 12:02:30 +36,?,16000000
TO7ROOT,/_S_TOWN16_PIC.TXD,35121152,20164,2005-10-05 12:02:30 +36,?,16000000
TO7ROOT,/_S_TOWN17_PIC.TXD,35141632,20164,2005-10-05 12:02:30 +36,?,16000000
TO7ROOT,/_S_TOWN18_PIC.TXD,35162112,20164,2005-10-05 12:02:30 +36,?,16000000
TO7ROOT,/_S_TOWN19_PIC.TXD,35182592,20164,2005-10-05 12:02:30 +36,?,16000000
TO7ROOT,/_S_TOWN20_PIC.TXD,35203072,20164,2005-10-05 12:02:30 +36,?,16000000
TO7ROOT,/_S_WORLDMAP0.TXD,35223552,414508,2005-10-26 19:58:59 +36,?,16000000
TO7ROOT,/_S_WORLDMAP1.TXD,35639296,414508,2005-10-26 19:58:59 +36,?,16000000
TO7ROOT,/_S_WORLDMAP2.TXD,36055040,414508,2005-10-26 19:58:59 +36,?,16000000
TO7ROOT,/_S_WORLDMAP3.TXD,36470784,414508,2005-10-26 19:59:00 +36,?,16000000
TO7ROOT,/_S_WORLDMAP4.TXD,36886528,414508,2005-10-26 19:59:00 +36,?,16000000
TO7ROOT,/_S_WORLDMAP5.TXD,37302272,414508,2005-10-26 19:59:00 +36,?,16000000
TO7ROOT,/_S_WORLDMAPB0.TXD,37718016,414508,2005-10-26 19:59:00 +36,?,16000000
TO7ROOT,/_S_WORLDMAPB1.TXD,38133760,414508,2005-10-26 19:59:00 +36,?,16000000
TO7ROOT,/_S_WORLDMAPB2.TXD,38549504,414508,2005-10-26 19:59:00 +36,?,16000000
TO7FIELD,/BBB.B,51200,2048,2005-10-28 14:40:03 +36,FPS3,46505333
TO7FIELD,/BBB.SLZ,53248,170049,2005-11-06 23:15:32 +36,codec block,01389802
TO7FIELD,/DUMMY_00.BIN,225280,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_01.BIN,227328,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_02.BIN,229376,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_03.BIN,231424,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_04.BIN,233472,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_05.BIN,235520,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_06.BIN,237568,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_07.BIN,239616,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_08.BIN,241664,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_09.BIN,243712,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_10.BIN,245760,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_11.BIN,247808,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_12.BIN,249856,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_13.BIN,251904,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_14.BIN,253952,16,2005-10-11 11:04:56 +36,zero-lead,00000000
TO7FIELD,/DUMMY_15.BIN,256000,16,2005-10-11 11:04:56 +36,zero-lead,00000000
